Active EFROS 3.2014,,,,,
EFRO ID,Account Number (Agency),Agency Alias (Agency),Agency,Program Type,Manual Entry
85272,R503,M49,The Momentum Project Inc.,Soup Kitchen,n
81589,R504,M50,Fraternite Notre Dame Inc.,Soup Kitchen,n
81980,R504,M50,Fraternite Notre Dame Inc.,Food Pantry,n
80514,R505,M51,Children's Aid Society - East Harlem,Food Pantry,n
89083,R509,M56,Create Inc.,Shelter,y
80321,R51,BK130,Mizpah Assemblies Inc.,Food Pantry,n
81187,R51,BK130,Mizpah Assemblies Inc.,Soup Kitchen,n
80801,R511,M58,Cathedral Kitchen - St. John the Divine,Soup Kitchen,n
81071,R514,M64,Community League of West 159th Street,Food Pantry,n
81414,R515,M66,Community Lounge for Senior Citizens,Senior Center,y
81457,R518,M72,Gay Men's Health Crisis - Child Life,Soup Kitchen,n
81501,R518,M72,Gay Men's Health Crisis - Child Life,Food Pantry,n
83527,R52,BK131,Redemption Community World Ministry,Food Pantry,n
84065,R520,M73,Lenox Hill Senior Center,Senior Center,n
83558,R521,M74,John Heuss House,Soup Kitchen,y
80813,R522,M75,Shelter and Food For the Homeless,Food Pantry,n
80814,R522,M75,Shelter and Food For the Homeless,Soup Kitchen,n
80749,R524,M76,Xavier Mission,Food Pantry,n
80750,R524,M76,Xavier Mission,Soup Kitchen,n
80476,R526,M77,All Souls Church,Soup Kitchen,n
84888,R528,M83,Presbyterian Senior Center,Senior Center,y
80754,R529,M87,St. James Church,Soup Kitchen,y
81169,R530,M88,Metro Baptist Church,Food Pantry,n
84067,R531,M92,BRC Cecil Ivory House,Shelter,n
84068,R532,M94,Arc XVI Ft. Washington Senior Center,Senior Center,n
89072,R533,M95,Central Harlem Alcohol Crisis Center,Rehab - Substance Abuse,y
82810,R534,M96,Goddard Riverside - The Senate,Shelter,n
82811,R536,M98,Columba Hall,Shelter,n
84069,R537,M98E,Ega Hall,Shelter,n
84066,R538,M98G,Gema Hall,Shelter,n
80913,R546,Q01,Goodwill Tenants Association,Food Pantry,n
84142,R548,Q03,St. Albans Baptist Church,Food Pantry,n
89090,R549,Q04,Glenridge Senior Citizen Multi-Service Center,Food Pantry,y
87176,R550,Q05,Outreach House - Queens County Youth Development,Shelter,y
84886,R551,Q06,Hanac Ravenswood,Food Pantry,y
81359,R553,Q09,Women of Faith,Food Pantry,y
82104,R554,Q10,Five Loaves and Two Fishes,Food Pantry,n
84104,R555,Q11,New Jerusalem Baptist Church,Food Pantry,y
84174,R556,Q12,Iglesia Alianza Cristiana Misionera Ebenezer,Food Pantry,n
84100,R557,Q13,African Women's Dream Inc.,Food Pantry,n
84989,R558,Q14,PSCH - Professional Services Care for - Handicaped,Food Pantry,y
84519,R559,Q15,Brooks Memorial United Methodist Church,Food Pantry,n
80401,R56,BK135,St. Phillip's Episcopal Church,Food Pantry,n
84226,R560,Q16,St. Johns Baptist Church,Food Pantry,n
84472,R561,Q18,Greater Faith Community Baptist Church,Food Pantry,y
80967,R562,Q19,Rush Temple A.M.E. Zion Church,Food Pantry,n
81480,R562,Q19,Rush Temple A.M.E. Zion Church,Soup Kitchen,n
84304,R564,Q20,Maranatha Baptist Church,Food Pantry,y
80938,R565,Q22,NY School of Urban Ministry (NISUM),Food Pantry,n
80915,R566,Q23,New Greater Bethel Ministries Inc.,Food Pantry,y
83391,R568,Q24,First Baptist Church,Soup Kitchen,n
83501,R568,Q24,First Baptist Church,Food Pantry,n
83344,R57,BK136,Northeast Brooklyn Housing Development Corporation,Food Pantry,n
80893,R570,Q26,Elmcor Youth and Adult Activities,Food Pantry,y
80891,R571,Q27,Corpus Christi Food Pantry,Food Pantry,y
81148,R572,Q28,Bethel Gospel Tabernacle,Soup Kitchen,n
81243,R572,Q28,Bethel Gospel Tabernacle,Food Pantry,n
84079,R575,Q31,J-CAP Queens Village Committee,Shelter,n
80900,R576,Q32,Faith Tabernacle Baptist Church,Food Pantry,y
81355,R578,Q34,House of Prayer,Food Pantry,n
82054,R579,Q35,Solid Rock SDA Church,Food Pantry,n
83608,R58,BK137,More Grace Redemptive Center Inc.,Food Pantry,n
83567,R583,Q38,Church of God in Christ Jesus,Food Pantry,n
